Rk,Player,WS,MP,ORtg,DRtg,BPM,PER,VORP,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
41,Wesley Matthews,0.8,28.8,112,106,-0.3,7.3,0.1,0.8,2021-22,35,MIL,12,12,28.8,2.1,5.3,0.6,1.6,1.5,3.8,0.5,0.8,0.8,2.3,3.1,1.2,0.8,0.3,0.5,2.3,6.2,.391,.368,.400,.667,.544,.531,G,matthwe02
42,Rudy Gobert,0.7,32.8,134,112,2.3,19.4,0.2,0.7,2021-22,29,UTA,6,6,32.8,3.5,5.5,3.5,5.5,0.0,0.0,5.0,7.3,3.5,9.7,13.2,0.5,0.2,1.0,1.3,3.2,12.0,.636,.636,,.682,.688,.636,C,goberru01
43,Grayson Allen,0.7,25.4,111,105,0.2,10.3,0.2,0.7,2021-22,26,MIL,12,5,25.4,3.1,6.8,1.5,2.8,1.6,4.0,0.6,0.9,0.4,2.5,2.9,1.3,0.7,0.3,0.8,1.8,8.3,.451,.529,.396,.636,.576,.567,G,allengr01
44,Tyus Jones,0.7,21.8,114,108,3.0,16.2,0.3,0.7,2021-22,25,MEM,12,3,21.8,3.3,8.3,1.8,4.5,1.5,3.8,1.2,1.3,0.3,2.9,3.3,4.5,1.2,0.2,1.1,0.7,9.2,.394,.389,.400,.933,.521,.485,G,jonesty01
45,Nikola Jokić,0.7,34.2,119,115,10.7,33.1,0.6,0.7,2021-22,26,DEN,5,5,34.2,12.2,21.2,11.2,17.6,1.0,3.6,5.6,6.6,3.4,9.8,13.2,5.8,1.6,1.0,4.8,4.0,31.0,.575,.636,.278,.848,.643,.599,C-F,jokicni01
46,Kyle Anderson,0.7,18.4,119,105,2.8,15.0,0.3,0.7,2021-22,28,MEM,12,1,18.4,2.4,4.3,2.2,3.3,0.3,1.0,0.9,1.5,0.8,3.5,4.3,1.8,0.9,0.6,0.8,1.8,6.0,.569,.667,.250,.611,.611,.598,F-G,anderky01
47,JaVale McGee,0.6,11.1,132,112,3.5,26.3,0.2,0.6,2021-22,34,PHO,12,0,11.1,2.9,4.2,2.9,4.1,0.0,0.1,0.9,1.1,1.3,2.7,4.0,0.6,0.3,0.4,0.8,2.3,6.8,.700,.714,.000,.846,.727,.700,C,mcgeeja01
48,Cameron Johnson,0.6,24.6,121,119,0.4,13.8,0.2,0.6,2021-22,25,PHO,13,3,24.6,3.5,7.6,1.8,3.1,1.7,4.5,2.0,2.5,0.7,2.8,3.5,1.5,0.4,0.1,0.9,2.4,10.8,.465,.600,.373,.813,.619,.576,F,johnsca02
49,Bobby Portis,0.6,24.8,101,101,-0.5,13.7,0.1,0.6,2021-22,26,MIL,12,5,24.8,4.0,9.6,2.8,5.7,1.2,3.9,1.4,1.8,2.1,7.9,10.0,0.8,0.4,0.3,1.3,2.2,10.6,.417,.500,.298,.773,.509,.478,F,portibo01
50,Brandon Ingram,0.6,39.3,117,121,3.9,21.3,0.4,0.6,2021-22,24,NOP,6,6,39.3,9.3,19.7,7.5,15.2,1.8,4.5,6.5,7.8,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0,.475,.495,.407,.830,.584,.521,F,ingrabr01
51,Gabe Vincent,0.6,23.5,103,109,-0.3,10.0,0.2,0.6,2021-22,25,MIA,18,8,23.5,2.8,7.3,1.4,2.8,1.4,4.5,1.1,1.1,0.2,1.8,1.9,3.2,0.8,0.3,1.4,2.3,8.0,.382,.500,.309,.950,.515,.477,G,vincega01
52,Chris Boucher,0.6,21.7,146,119,5.2,24.5,0.2,0.6,2021-22,29,TOR,6,0,21.7,4.3,7.0,3.3,4.5,1.0,2.5,1.5,1.7,2.0,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2,.619,.741,.400,.900,.722,.690,F,bouchch01
53,Jonas Valančiūnas,0.6,29.2,122,117,3.7,23.9,0.3,0.6,2021-22,29,NOP,6,6,29.2,5.5,11.3,5.3,10.3,0.2,1.0,3.3,4.3,5.5,8.8,14.3,3.0,0.7,0.2,2.0,2.8,14.5,.485,.516,.167,.769,.548,.493,C,valanjo01
54,Jrue Holiday,0.6,38.6,97,102,1.6,13.8,0.4,0.6,2021-22,31,MIL,12,12,38.6,7.4,19.6,5.3,13.0,2.1,6.6,2.2,2.6,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1,.379,.410,.316,.839,.461,.432,G,holidjr01
55,Daniel Theis,0.6,12.5,115,105,0.4,14.2,0.1,0.6,2021-22,29,BOS,16,5,12.5,1.9,3.2,1.7,2.3,0.2,0.9,0.4,0.5,0.8,2.4,3.3,0.7,0.3,0.5,0.7,1.6,4.3,.588,.730,.214,.750,.633,.618,C,theisda01
56,Devin Booker,0.6,36.6,111,120,2.0,18.0,0.4,0.6,2021-22,25,PHO,10,10,36.6,7.9,17.5,5.1,11.0,2.8,6.5,4.7,5.3,1.0,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3,.451,.464,.431,.887,.587,.531,G,bookede01
57,Pascal Siakam,0.5,43.3,116,120,3.0,19.7,0.3,0.5,2021-22,27,TOR,6,6,43.3,8.5,17.8,7.8,15.0,0.7,2.8,5.2,6.0,1.3,5.8,7.2,5.8,1.2,1.0,2.2,4.0,22.8,.477,.522,.235,.861,.558,.495,F,siakapa01
58,Shake Milton,0.5,13.2,127,112,3.7,15.4,0.2,0.5,2021-22,25,PHI,12,0,13.2,1.5,3.2,0.8,1.9,0.7,1.3,1.3,1.7,0.3,1.3,1.6,0.9,0.5,0.3,0.4,1.1,5.0,.474,.435,.533,.800,.641,.579,G,miltosh01
59,Anthony Edwards,0.5,37.8,112,114,3.5,17.8,0.3,0.5,2021-22,20,MIN,6,6,37.8,8.3,18.3,4.5,8.8,3.8,9.5,4.7,5.7,0.7,3.5,4.2,3.0,1.2,1.2,2.5,3.7,25.2,.455,.509,.404,.824,.604,.559,G,edwaran01
60,Jordan Clarkson,0.5,28.3,120,117,4.3,19.8,0.3,0.5,2021-22,29,UTA,6,0,28.3,6.7,12.2,5.2,8.2,1.5,4.0,2.7,3.0,0.8,2.3,3.2,1.3,0.5,0.2,1.7,2.8,17.5,.548,.633,.375,.889,.649,.610,G,clarkjo01
61,Duncan Robinson,0.5,12.2,120,109,2.8,13.2,0.2,0.5,2021-22,27,MIA,13,0,12.2,1.9,4.4,0.5,0.8,1.4,3.6,0.4,0.5,0.2,1.6,1.8,0.4,0.3,0.1,0.2,1.7,5.6,.439,.700,.383,.833,.612,.596,G-F,robindu01
